32,87,119
4,15,19
33,77,110
466,158,624
20,25,45
10,17,27
32,8,40
10,5,15
1,16,17
274,169,443
8,13,21
56,31,87
0,13,13
4,7,11
428,186,614
10,50,60
333,471,804
0,15,15
140,457,597
10,2,12
15,0,15
20,19,39
40,62,102
124,203,327
13,15,28
61,36,97
23,23,46
1,10,11
18,4,22
18,18,36
4,8,12
134,175,309
3,8,11
7,3,10
19,7,26
20,13,33
16,12,28
45,35,80
30,15,45
20,6,26
265,303,568
5,4,9
13,5,18
6,12,18
13,8,21
79,23,102
0,4,4
12,16,28
455,455,910
6,17,23
18,11,29
17,18,35
54,70,124
32,76,108
6,5,11
4,19,23
17,10,27
18,15,33
32,64,96
4,10,14
2,12,14
3,15,18
8,128,136
35,42,77
13,4,17
128,1,129
9,1,10
0,19,19
51,95,146
112,441,553
65,100,165
61,26,87
196,246,442
466,280,746
79,58,137
18,12,30
0,20,20
18,0,18
2,14,16
14,17,31
45,40,85
6,0,6
63,37,100
3,12,15
13,6,19
71,89,160
2,13,15
46,46,92
10,14,24
26,26,52
15,6,21
45,15,60
215,304,519
2,19,21
20,3,23
7,8,15
24,24,48
36,36,72
8,7,15
5,6,11
162,349,511
40,30,70
86,38,124
16,9,25
67,89,156
32,54,86
4,9,13
11,11,22
10,10,20
19,18,37
1,17,18
2,5,7
15,50,65
99,88,187
32,2,34
338,363,701
40,5,45
84,76,160
15,14,29
19,16,35
9,8,17
19,19,38
16,128,144
21,81,102
7,1,8
6,8,14
19,3,22
17,9,26
20,11,31
0,14,14
20,0,20
179,315,494
30,50,80
10,45,55
50,30,80
64,4,68
77,23,100
14,15,29
80,41,121
16,64,80
12,7,19
128,32,160
69,90,159
3,19,22
2,9,11
97,61,158
118,434,552
12,6,18
19,15,34
3,10,13
4,13,17
4,64,68
66,78,144
20,20,40
10,16,26
4,6,10
35,87,122
269,294,563
9,18,27
25,50,75
7,17,24
66,87,153
12,11,23
6,2,8
7,14,21
61,73,134
12,13,25
25,39,64
11,20,31
20,10,30
45,70,115
14,13,27
48,48,96
47,43,90
44,47,91
35,50,85
411,474,885
15,45,60
15,7,22
17,7,24
7,19,26
61,39,100
41,41,82
14,14,28
99,31,130
21,36,57
17,0,17
13,2,15
10,7,17
195,143,338
23,29,52
15,30,45
34,48,82
120,182,302
5,3,8
0,12,12
30,30,60
18,3,21
18,20,38
161,405,566
62,27,89
3,4,7
17,8,25
146,270,416
15,3,18
10,11,21
14,0,14
5,10,15
19,0,19
99,99,198
2,6,8
83,68,151
52,37,89
56,73,129
64,32,96
9,12,21
4,4,8
49,96,145
91,59,150
331,290,621
1,20,21
27,75,102
53,70,123
237,117,354
3,20,23
342,408,750
5,12,17
38,21,59
128,2,130
39,56,95
189,358,547
43,74,117
44,80,124
15,17,32
12,5,17
93,23,116
8,9,17
28,45,73
29,28,57
64,68,132
10,9,19
452,275,727
69,58,127
5,16,21
20,5,25
15,15,30
84,29,113
12,8,20
425,465,890
2,7,9
14,12,26
44,48,92
17,12,29
391,399,790
19,1,20
18,2,20
0,9,9
9,9,18
14,10,24
4,128,132
16,7,23
1,12,13
45,50,95
305,121,426
12,18,30
25,5,30
29,55,84
83,40,123
80,93,173
64,22,86
43,50,93
16,16,32
431,182,613
0,17,17
128,8,136
0,6,6
8,19,27
21,87,108
0,18,18
441,130,571
19,5,24
30,21,51
14,19,33
25,40,65
17,19,36
4,17,21
32,53,85
12,3,15
18,5,23
14,18,32
297,161,458
336,402,738
7,10,17
7,7,14
165,135,300
12,10,22
17,20,37
96,27,123
68,49,117
0,8,8
6,13,19
9,6,15
10,18,28
5,50,55
451,221,672
495,229,724
50,10,60
26,74,100
11,3,14
60,57,117
13,18,31
28,64,92
3,1,4
20,9,29
492,210,702
53,59,112
138,332,470
421,173,594
49,49,98
3,7,10
69,70,139
13,7,20
29,97,126
14,7,21
17,5,22
4,18,22
17,11,28
23,40,63
1,18,19
30,25,55
12,20,32
789,211,1000
2,18,20
25,15,40
10,20,30
310,349,659
1,4,5
0,7,7
14,5,19
13,20,33
10,25,35
27,27,54
4,3,7
9,14,23
89,34,123
11,19,30
8,3,11
16,32,48
5,15,20
7,2,9
16,17,33
17,2,19
6,7,13
77,99,176
25,10,35
2,10,12
12,17,29
32,4,36
17,14,31
26,38,64
34,34,68
20,4,24
9,20,29
32,128,160
1,19,20
15,40,55
64,8,72
13,0,13
4,2,6
88,95,183
377,306,683
11,1,12
3,2,5
3,16,19
16,20,36
400,198,598
2,128,130
242,380,622
999,1,1000
15,2,17
15,25,40
289,372,661
12,9,21
15,13,28
172,495,667
13,3,16
6,6,12
35,10,45
10,13,23
8,14,22
16,4,20
8,0,8
35,68,103
0,1,1
5,40,45
19,9,28
5,25,30
226,435,661
40,84,124
373,407,780
6,20,26
17,17,34
38,68,106
92,91,183
18,16,34
4,14,18
13,13,26
337,216,553
5,45,50
12,19,31
6,14,20
248,218,466
11,12,23
9,5,14
40,45,85
66,39,105
45,45,90
20,30,50
97,44,141
18,9,27
405,138,543
11,9,20
11,10,21
57,92,149
50,20,70
20,14,34
93,78,171
3,17,20
31,80,111
40,50,90
20,16,36
4,5,9
9,19,28
60,72,132
37,79,116
35,15,50
24,93,117
20,45,65
43,43,86
15,35,50
14,8,22
123,456,579
20,8,28
2,20,22
6,11,17
11,5,16
18,7,25
14,3,17
44,44,88
2,1,3
35,25,60
17,13,30
68,39,107
90,33,123
27,21,48
21,73,94
18,1,19
11,7,18
83,82,165
1,5,6
10,8,18
38,26,64
11,6,17
20,35,55
64,28,92
8,8,16
2,3,5
16,13,29
28,28,56
1,3,4
6,3,9
20,15,35
3,14,17
387,113,500
9,13,22
5,7,12
79,56,135
16,2,18
13,9,22
60,95,155
90,64,154
2,8,10
46,63,109
90,57,147
15,8,23
13,17,30
40,35,75
84,63,147
13,10,23
28,50,78
25,35,60
9,2,11
244,238,482
30,40,70
8,6,14
17,16,33
4,32,36
228,324,552
5,13,18
19,17,36
85,28,113
105,148,253
15,10,25
64,64,128
18,8,26
9,15,24
40,25,65
271,367,638
18,10,28
7,0,7
12,1,13
50,57,107
71,24,95
64,16,80
50,35,85
352,308,660
1,32,33
17,4,21
92,53,145
25,25,50
8,18,26
93,87,180
42,42,84
87,90,177
1,64,65
32,94,126
481,350,831
33,31,64
75,42,117
4,16,20
3,0,3
77,85,162
24,59,83
483,168,651
29,48,77
500,500,1000
21,72,93
133,222,355
3,11,14
86,97,183
25,20,45
19,12,31
99,52,151
7,16,23
290,420,710
32,32,64
79,79,158
32,1,33
50,40,90
2,32,34
79,90,169
6,9,15
20,7,27
37,68,105
77,54,131
16,10,26
5,18,23
10,3,13
128,4,132
58,61,119
13,16,29
6,4,10
20,18,38
10,12,22
11,18,29
15,16,31
13,11,24
91,30,121
22,75,97
278,487,765
85,27,112
20,17,37
89,72,161
16,1,17
224,219,443
128,16,144
26,85,111
35,30,65
302,338,640
11,8,19
157,460,617
15,5,20
64,1,65
4,0,4
40,43,83
55,87,142
73,95,168
19,20,39
20,2,22
12,0,12
9,7,16
59,63,122
89,83,172
21,21,42
18,6,24
8,64,72
86,66,152
15,4,19
5,0,5
55,50,105
0,3,3
19,13,32
19,8,27
15,20,35
128,64,192
54,61,115
39,39,78
86,64,150
40,20,60
18,13,31
433,310,743
124,349,473
15,11,26
77,26,103
14,9,23
1,1,2
11,0,11
13,14,27
16,18,34
35,5,40
9,4,13
31,31,62
17,1,18
30,20,50
5,2,7
1,11,12
133,138,271
18,17,35
11,16,27
5,1,6
62,82,144
458,286,744
5,11,16
64,128,192
0,11,11
5,30,35
205,195,400
7,15,22
213,179,392
30,35,65
11,13,24
80,64,144
12,14,26
45,20,65
36,26,62
58,97,155
4,20,24
1,9,10
66,89,155
2,2,4
214,124,338
11,14,25
32,24,56
19,10,29
5,20,25
1,14,15
5,35,40
209,335,544
3,6,9
5,19,24
7,5,12
184,489,673
2,15,17
7,11,18
4,1,5
14,4,18
16,14,30
17,3,20
40,15,55
8,15,23
11,2,13
32,37,69
42,30,72
10,1,11
13,1,14
7,20,27
50,5,55
39,27,66
